Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
4096,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,154624,4x4,2x2,16,65536,4542.0,14.428885953324526
8192,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,155648,4x4,2x2,16,131072,9184.0,14.27177700348432
16384,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,156672,4x4,2x2,16,262144,18909.0,13.863451266592628
32768,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,157696,4x4,2x2,16,524288,38084.0,13.766621153240205
65536,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,158720,4x4,2x2,16,1048576,78781.0,13.310011297140173
32,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,159744,4x4,2x2,16,8192,2878.0,2.846421125781793
64,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,160768,4x4,2x2,16,16384,2990.0,5.479598662207358
128,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,161792,4x4,2x2,16,32768,3663.0,8.945672945672946
256,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,162816,4x4,2x2,16,65536,5727.0,11.443338571678016
512,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,163840,4x4,2x2,16,131072,10633.0,12.326906799586194
1024,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,164864,4x4,2x2,16,262144,20169.0,12.997372204868858
2048,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,165888,4x4,2x2,16,524288,39575.0,13.247959570435881
4096,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,166912,4x4,2x2,16,1048576,78169.0,13.414217912471695
8192,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,167936,4x4,2x2,16,2097152,156917.0,13.364721476959156
16384,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,168960,4x4,2x2,16,4194304,314938.0,13.317872089109603
32768,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,169984,4x4,2x2,16,8388608,628855.0,13.33949479609767
65536,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,171008,4x4,2x2,16,16777216,1260563.0,13.309303858672672
32,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,172032,4x4,2x2,16,131072,47198.0,2.7770668248654604
64,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,173056,4x4,2x2,16,262144,50486.0,5.192409776967872
128,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,174080,4x4,2x2,16,524288,59865.0,8.757838469890586
256,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,175104,4x4,2x2,16,1048576,92770.0,11.302964320362186
512,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,176128,4x4,2x2,16,2097152,169279.0,12.388731029838315
1024,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,177152,4x4,2x2,16,4194304,324266.0,12.93476343495772
2048,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,178176,4x4,2x2,16,8388608,636669.0,13.17577579558609
4096,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,179200,4x4,2x2,16,16777216,1253728.0,13.381862732586335
8192,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,180224,4x4,2x2,16,33554432,2522037.0,13.304496325787449
16384,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,181248,4x4,2x2,16,67108864,5044565.0,13.303201366222856
32768,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,182272,4x4,2x2,16,134217728,10095656.0,13.294601955534143
65536,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,183296,4x4,2x2,16,268435456,20194768.0,13.292326804645638
32,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,184320,2x2,4x4,4,128,1320.0,0.09696969696969697
64,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,185344,2x2,4x4,4,256,1185.0,0.2160337552742616
128,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,186368,2x2,4x4,4,512,1214.0,0.42174629324546953
256,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,187392,2x2,4x4,4,1024,1155.0,0.8865800865800866
512,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,188416,2x2,4x4,4,2048,1150.0,1.7808695652173914
1024,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,189440,2x2,4x4,4,4096,1478.0,2.7713125845737485
2048,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,190464,2x2,4x4,4,8192,2435.0,3.364271047227926
4096,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,191488,2x2,4x4,4,16384,4721.0,3.4704511755983902
8192,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,192512,2x2,4x4,4,32768,9810.0,3.34026503567788
16384,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,193536,2x2,4x4,4,65536,18079.0,3.6249792577023063
32768,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,194560,2x2,4x4,4,131072,38443.0,3.4095153864162526
65536,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,195584,2x2,4x4,4,262144,76865.0,3.410446887399987
32,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,196608,2x2,4x4,4,2048,9365.0,0.21868659903897492
64,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,197632,2x2,4x4,4,4096,9354.0,0.4378875347444943
128,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,198656,2x2,4x4,4,8192,10289.0,0.7961901059383808
256,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,199680,2x2,4x4,4,16384,9832.0,1.6663954434499593
512,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,200704,2x2,4x4,4,32768,11825.0,2.7710782241014797
1024,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,201728,2x2,4x4,4,65536,20690.0,3.1675205413243113
2048,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,202752,2x2,4x4,4,131072,39668.0,3.304225068064939
4096,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,203776,2x2,4x4,4,262144,78768.0,3.3280520008125127
8192,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,204800,2x2,4x4,4,524288,154521.0,3.392988655263686
16384,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,205824,2x2,4x4,4,1048576,308939.0,3.39411987479729
32768,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,206848,2x2,4x4,4,2097152,621368.0,3.3750563273293763
65536,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,207872,2x2,4x4,4,4194304,1236135.0,3.3930792348732135
32,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,208896,2x2,4x4,4,32768,154944.0,0.21148285832300703
64,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,209920,2x2,4x4,4,65536,138647.0,0.4726824237091318
128,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,210944,2x2,4x4,4,131072,138635.0,0.9454466765246872
256,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,211968,2x2,4x4,4,262144,150824.0,1.7380788203468944
512,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,212992,2x2,4x4,4,524288,194905.0,2.68996690695467
1024,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,214016,2x2,4x4,4,1048576,344493.0,3.043823822254734
2048,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,215040,2x2,4x4,4,2097152,626039.0,3.349874368849225
4096,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,216064,2x2,4x4,4,4194304,1254736.0,3.3427780824013977
8192,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,217088,2x2,4x4,4,8388608,2471283.0,3.394434388938863
16384,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,218112,2x2,4x4,4,16777216,4934429.0,3.4000318983209605
32768,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,219136,2x2,4x4,4,33554432,9874150.0,3.3982096686803422
65536,256,wormhole_b0,unicast,l1,all_to_all,riscv_0,220160,2x2,4x4,4,67108864,19758869.0,3.396391969601094
32,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,221184,4x4,1x1,16,512,448.0,1.1428571428571428
64,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,222208,4x4,1x1,16,1024,439.0,2.3325740318906605
128,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,223232,4x4,1x1,16,2048,453.0,4.520971302428256
256,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,224256,4x4,1x1,16,4096,475.0,8.623157894736842
512,1,wormhole_b0,unicast,l1,all_to_all,riscv_0,225280,4x4,1x1,16,8192,611.0,13.407528641571195
