Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,194560,2x2,4x4,4,131072,34593.0,3.7889746480501834
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,195584,2x2,4x4,4,262144,70536.0,3.716456844731768
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,196608,2x2,4x4,4,2048,7877.0,0.2599974609622953
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,197632,2x2,4x4,4,4096,7849.0,0.5218499171869028
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,198656,2x2,4x4,4,8192,7853.0,1.0431682159684197
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,199680,2x2,4x4,4,16384,7967.0,2.0564829923434167
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,200704,2x2,4x4,4,32768,9675.0,3.38687338501292
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,201728,2x2,4x4,4,65536,19724.0,3.3226526059622796
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,202752,2x2,4x4,4,131072,35654.0,3.676221461827565
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,203776,2x2,4x4,4,262144,74868.0,3.50141582518566
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,204800,2x2,4x4,4,524288,123974.0,4.229015761369319
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,205824,2x2,4x4,4,1048576,309017.0,3.393263153807072
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,206848,2x2,4x4,4,2097152,657914.0,3.1875777077247176
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,207872,2x2,4x4,4,4194304,1338521.0,3.133536194052988
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,208896,2x2,4x4,4,32768,120695.0,0.271494262396951
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,209920,2x2,4x4,4,65536,120720.0,0.5428760768721007
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,210944,2x2,4x4,4,131072,120574.0,1.087066863502911
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,211968,2x2,4x4,4,262144,122486.0,2.1401956141926424
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,212992,2x2,4x4,4,524288,167255.0,3.1346626408777016
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,214016,2x2,4x4,4,1048576,319456.0,3.282380046078333
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,215040,2x2,4x4,4,2097152,625036.0,3.355249937603594
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,216064,2x2,4x4,4,4194304,1256959.0,3.3368661984997123
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,217088,2x2,4x4,4,8388608,2457660.0,3.4132500020344554
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,218112,2x2,4x4,4,16777216,4877830.0,3.4394835408368065
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,219136,2x2,4x4,4,33554432,10331188.0,3.24787739803012
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,220160,2x2,4x4,4,67108864,22002461.0,3.0500617180959892
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,221184,4x4,1x1,16,512,469.0,1.091684434968017
